TRoll,TPitch, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance, mavlink_ekf_status_report_t.airspeed_variance
-0.2270973,0.645753,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.2270973,0.645753,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.2270973,0.645753,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000674653,-0.001603904,0.001280734,0.00883428,0.03283222,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000314807,-0.000272677,0.001039885,0.001854267,0.02064508,0.04410257,0.03124158,0.01501376,0.2003711,0,0
-0.5396596,0.7302272,-0.005610998,0.01324734,-1.491062,0.02002249,-0.01709762,0.03951588,-0.000314807,-0.000272677,0.001039885,0.001854267,0.02064508,0,0.000315221,0.01251511,0.03265588,0,0
-0.5396596,0.7302272,-0.009466652,0.01306711,-1.290475,-0.001436112,0.000253706,0.02189844,-0.000314807,-0.000272677,0.001039885,0.001854267,0.02064508,0,0.000315221,0.01251511,0.03265588,0,0
-0.5396596,0.7302272,-0.009377196,0.01304333,-1.289734,0.000270062,8.45E-05,0.0064645,-0.000314807,-0.000272677,0.001039885,0.001854267,0.02064508,0,0.000315221,0.01251511,0.03265588,0,0
-0.5396596,0.7302272,-0.009377196,0.01304333,-1.289734,0.000270062,8.45E-05,0.0064645,-0.000314807,-0.000272677,0.001039885,0.001854267,0.02064508,0,0.000315221,0.01251511,0.03265588,0,0
