TRoll,TPitch, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance, mavlink_ekf_status_report_t.airspeed_variance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0,0,0,0,0,0
-1.871362,1.045754,0,0,0,0,0,0,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.871362,1.045754,-0.03261993,0.01828842,1.380895,0.001872382,-0.000235052,0.00164818,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.871362,1.045754,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.871362,1.045754,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.871362,1.045754,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.871362,1.045754,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295714,-0.001297753,-0.000299028,0.01051471,0.03049157,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02465317,0.0254204,0.004902904,0.09503897,0,0
-1.870032,1.050894,-0.03264804,0.01832541,1.380906,0.000505556,0.001182779,0.002138069,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.870032,1.050894,-0.03265257,0.01835908,1.380944,-0.00039162,0.000678824,0.000752377,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.870032,1.050894,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.870032,1.050894,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.870032,1.050894,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.870032,1.050894,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295969,-0.001299655,-0.000307557,0.01067483,0.0301714,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02481775,0.02281792,0.01280778,0.07627753,0,0
-1.865018,1.044374,-0.0325419,0.01827371,1.38095,-0.000342305,-0.000163739,0.002342274,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.865018,1.044374,-0.03249491,0.01816167,1.380962,0.000320295,0.000406834,0.002245485,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.865018,1.044374,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.865018,1.044374,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.865018,1.044374,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.865018,1.044374,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295815,-0.001300684,-0.000316945,0.01062963,0.03712155,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.02243252,0.02487786,0.005895523,0.1154556,0,0
-1.85608,1.038412,-0.0324549,0.01809809,1.380916,0.001864449,0.000468793,0.001862815,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.85608,1.038412,-0.03233196,0.0182128,1.380973,0.000102753,0.001078837,0.002867174,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.85608,1.038412,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.85608,1.038412,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.85608,1.038412,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.85608,1.038412,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000295492,-0.00130154,-0.000325618,0.01010635,0.03087046,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03107381,0.02344427,0.01572852,0.06532998,0,0
-1.846906,1.05296,-0.03226254,0.01826112,1.381034,-0.00038342,-0.000281151,0.001869197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.846906,1.05296,-0.03217428,0.01846967,1.381073,-0.0002677,0.000836094,0.002529033,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.846906,1.05296,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.846906,1.05296,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.846906,1.05296,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.846906,1.05296,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000294793,-0.00129992,-0.000334389,0.009872824,0.03879062,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.03400145,0.02194323,0.007281173,0.09345975,0,0
-1.843112,1.06465,-0.03213661,0.01855493,1.38105,0.000209714,0.000565037,0.001712197,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.843112,1.06465,-0.03215111,0.01860334,1.381029,0.000646419,-0.000317083,0.002501297,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.843112,1.06465,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.843112,1.06465,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.843112,1.06465,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.843112,1.06465,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.83147,1.064116,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.83147,1.064116,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
-1.83147,1.064116,-0.03207739,0.01864693,1.381103,-0.00020226,0.000543775,0.002434147,-0.000295015,-0.001301754,-0.000343894,0.01047714,0.02981154,0.01966367,0.02217533,0.00975859,0.07230633,0,0
