TRoll,TPitch, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance, mavlink_ekf_status_report_t.airspeed_variance
-2.486639,-1.429309,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
-2.486639,-1.429309,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
-2.486639,-1.429309,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
-2.486639,-1.429309,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
0.909276,0.4696707,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
0.909276,0.4696707,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
0.909276,0.4696707,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
0.909276,0.4696707,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
0.909276,0.4696707,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.001539961,-0.000393401,-0.002160172,0.01112076,0.03421961,0.03359566,0.01881938,0.000390942,0.02997948,0,0
0.909276,0.4696707,0.01585132,0.008241281,-1.039347,-0.000434014,0.000108467,0.000141223,0.000123049,-0.000942184,0.000378623,0.01134188,0.01509037,0.03359566,0.01881938,0.000390942,0.02997948,0,0
