TRoll,TPitch, mavlink_nav_controller_output_t.alt_error, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance
-0.9925859,-1.334137,0.1647492,-0.006642261,-0.01256456,1.496697,0.000965515,0.001479515,0.001575377,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.9925859,-1.334137,0.1647492,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.9925859,-1.334137,0.1647492,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.9925859,-1.334137,0.1647492,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.9925859,-1.334137,0.1647492,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.000174797,-0.000493913,0.001487917,0.08285984,0.1108091,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.00051949,-0.00041795,0.003628825,0.01405706,0.06472922,0.4097773,0.007021616,0.006334719,0.03058851,1.63E-06
-0.411396,-0.7281963,-3.419198,-0.006822045,-0.01258552,1.499683,0.00040572,0.000315191,-0.000288021,-0.00051949,-0.00041795,0.003628825,0.01405706,0.06472922,0.1281901,0.01621114,0.01371648,0.004582827,0.03597062
-0.411396,-0.7281963,-3.419198,-0.007619561,-0.013043,1.50267,4.28E-05,0.000150048,0.001060991,-0.00051949,-0.00041795,0.003628825,0.01405706,0.06472922,0.1281901,0.01621114,0.01371648,0.004582827,0.03597062
