TCurr, mavlink_nav_controller_output_t.nav_roll, mavlink_nav_controller_output_t.nav_pitch, mavlink_attitude_t.yaw, mavlink_gps_raw_int_t.vel, mavlink_raw_imu_t.xgyro, mavlink_raw_imu_t.ygyro
0,0,0,3.004294,0,0,0
0,0,0,3.003196,0,0,0
0,0,0,2.999945,0,0,0
0,0,0,2.997939,0,0,0
0,0,0,2.997926,0,0,0
0,0,0,2.995806,0,0,0
0,0,0,2.995312,0,0,0
0,0,0,2.994369,0,0,0
0,0,0,2.991353,0,0,0
0,0,0,2.993517,0,0,0
0,0,0,2.995047,0,0,0
0,0,0,2.992987,0,0,0
0,0,0,2.992975,0,0,0
0,0,0,2.991963,0,0,0
0,0,0,2.992666,0,0,0
0,0,0,2.972883,0,0,0
0,0,0,2.9602,0,0,0
0,0,0,2.947227,0,0,0
0,0,0,2.935614,0,0,0
0,0,0,2.93323,0,0,0
0,0,0,2.930716,0,0,0
0,0,0,2.928576,0,0,0
0,0,0,2.926353,0,0,0
0,0,0,2.924605,0,0,0
0,0,0,2.922317,0,0,0
0,0,0,2.920614,0,0,0
0,0,0,2.918379,0,0,0
0,0,0,2.916485,0,0,0
0,0,0,2.914553,0,0,0
0,0,0,2.912963,0,0,0
0,0,0,2.911255,0,0,0
0,0,0,2.909406,0,0,0
0,0,0,2.907472,0,0,0
0,0,0,2.906194,0,0,0
0,0,0,2.904603,0,0,0
0,0,0,2.903145,0,0,0
0,0,0,2.901569,0,0,0
0,0,0,2.900655,0,0,0
0,0,0,2.899299,0,0,0
0,0,0,2.897981,0,0,0
0,0,0,2.896331,0,0,0
0,0,0,2.894975,0,0,0
0,0,0,2.89372,0,0,0
0,0,0,2.892679,0,0,0
0,0,0,2.891352,0,0,0
0,0,0,2.890312,0,0,0
0,0,0,2.888779,0,0,0
0,0,0,2.887951,0,0,0
0,0,0,2.887062,0,0,0
0,0,0,2.887062,0,0,0
0,0,0,2.887062,0,0,0
0,0,0,2.887062,2,0,0
-1.685749,0.3050078,1.753185,2.887062,2,0,0
-1.685749,0.3050078,1.753185,2.887062,2,1,1
-1.685749,0.3050078,1.753185,2.887062,2,1,1
-1.685749,0.3050078,1.753185,2.887062,2,1,1
-1.685749,0.3050078,1.753185,2.887062,2,1,1
-1.685749,0.3050078,1.753185,2.887062,2,1,1
-1.685749,0.3050078,1.753185,2.887062,2,1,1
-1.685749,0.3050078,1.753185,2.885706,2,1,1
-1.685749,0.3050078,1.753185,2.885706,2,1,1
-1.685749,0.3050078,1.753185,2.885706,2,1,1
-1.685749,0.3050078,1.753185,2.885706,3,1,1
-1.703015,0.3001874,1.748446,2.885706,3,1,1
-1.703015,0.3001874,1.748446,2.885158,3,1,1
-1.703015,0.3001874,1.748446,2.885158,3,0,1
-1.703015,0.3001874,1.748446,2.885158,3,0,1
-1.703015,0.3001874,1.748446,2.885158,3,0,1
-1.703015,0.3001874,1.748446,2.885158,3,0,1
-1.703015,0.3001874,1.748446,2.885158,3,0,1
-1.703015,0.3001874,1.748446,2.885158,3,0,1
-1.703015,0.3001874,1.748446,2.884419,3,0,1
-1.703015,0.3001874,1.748446,2.884419,3,0,1
-1.703015,0.3001874,1.748446,2.884419,3,0,1
-1.703015,0.3001874,1.748446,2.884419,1,0,1
-1.718366,0.3077504,1.755411,2.884419,1,0,1
-1.718366,0.3077504,1.755411,2.883853,1,0,1
-1.718366,0.3077504,1.755411,2.883853,1,0,0
-1.718366,0.3077504,1.755411,2.883853,1,0,0
-1.718366,0.3077504,1.755411,2.883853,1,0,0
-1.718366,0.3077504,1.755411,2.883853,1,0,0
-1.718366,0.3077504,1.755411,2.883853,1,0,0
-1.718366,0.3077504,1.755411,2.883853,1,0,0
-1.718366,0.3077504,1.755411,2.883287,1,0,0
-1.718366,0.3077504,1.755411,2.883287,1,0,0
-1.718366,0.3077504,1.755411,2.883287,1,0,0
-1.718366,0.3077504,1.755411,2.883287,2,0,0
-1.735839,0.3156176,1.758186,2.883287,2,0,0
-1.735839,0.3156176,1.758186,2.882637,2,0,0
-1.735839,0.3156176,1.758186,2.882637,2,0,1
-1.735839,0.3156176,1.758186,2.882637,2,0,1
-1.735839,0.3156176,1.758186,2.882637,2,0,1
-1.735839,0.3156176,1.758186,2.882637,2,0,1
-1.735839,0.3156176,1.758186,2.882637,2,0,1
-1.735839,0.3156176,1.758186,2.882637,2,0,1
-1.735839,0.3156176,1.758186,2.881734,2,0,1
-1.735839,0.3156176,1.758186,2.881734,2,0,1
-1.735839,0.3156176,1.758186,2.881734,2,0,1
-1.735839,0.3156176,1.758186,2.881734,3,0,1
-1.755504,0.3065931,1.755188,2.881734,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.881211,3,0,1
-1.755504,0.3065931,1.755188,2.880769,3,0,1
-1.755504,0.3065931,1.755188,2.880121,3,0,1
-1.755504,0.3065931,1.755188,2.880121,3,0,1
-1.755504,0.3065931,1.755188,2.880121,3,0,1
-1.755504,0.3065931,1.755188,2.880121,1,0,1
