TCurr, mavlink_nav_controller_output_t.nav_roll, mavlink_nav_controller_output_t.nav_pitch, mavlink_attitude_t.yaw, mavlink_gps_raw_int_t.vel, mavlink_raw_imu_t.xgyro, mavlink_raw_imu_t.ygyro
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-2.664251,-1.871362,1.045754,0,0,0,0
-2.664251,-1.871362,1.045754,0,0,1,1
-2.664251,-1.871362,1.045754,0,0,1,1
-2.664251,-1.871362,1.045754,0,0,1,1
-2.664251,-1.871362,1.045754,0,0,1,1
-2.664251,-1.871362,1.045754,0,0,1,1
-2.664251,-1.871362,1.045754,0,0,1,1
-2.664251,-1.871362,1.045754,1.380895,0,1,1
-2.664251,-1.871362,1.045754,1.380906,0,1,1
-2.664251,-1.871362,1.045754,1.380906,0,1,1
-2.664251,-1.871362,1.045754,1.380906,0,1,1
-2.664251,-1.871362,1.045754,1.380906,4,1,1
-2.673982,-1.870032,1.050894,1.380906,4,1,1
-2.673982,-1.870032,1.050894,1.380906,4,0,1
-2.673982,-1.870032,1.050894,1.380906,4,0,1
-2.673982,-1.870032,1.050894,1.380906,4,0,1
-2.673982,-1.870032,1.050894,1.380906,4,0,1
-2.673982,-1.870032,1.050894,1.380906,4,0,1
-2.673982,-1.870032,1.050894,1.380906,4,0,1
-2.673982,-1.870032,1.050894,1.380944,4,0,1
-2.673982,-1.870032,1.050894,1.38095,4,0,1
-2.673982,-1.870032,1.050894,1.38095,4,0,1
-2.673982,-1.870032,1.050894,1.38095,4,0,1
-2.673982,-1.870032,1.050894,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.38095,5,0,1
-2.677152,-1.865018,1.044374,1.380962,5,0,1
-2.677152,-1.865018,1.044374,1.380916,5,0,1
-2.677152,-1.865018,1.044374,1.380916,5,0,1
-2.677152,-1.865018,1.044374,1.380916,5,0,1
-2.677152,-1.865018,1.044374,1.380916,2,0,1
-2.680946,-1.85608,1.038412,1.380916,2,0,1
-2.680946,-1.85608,1.038412,1.380916,2,0,0
-2.680946,-1.85608,1.038412,1.380916,2,0,0
-2.680946,-1.85608,1.038412,1.380916,2,0,0
-2.680946,-1.85608,1.038412,1.380916,2,0,0
-2.680946,-1.85608,1.038412,1.380916,2,0,0
-2.680946,-1.85608,1.038412,1.380916,2,0,0
-2.680946,-1.85608,1.038412,1.380973,2,0,0
-2.680946,-1.85608,1.038412,1.381034,2,0,0
-2.680946,-1.85608,1.038412,1.381034,2,0,0
-2.680946,-1.85608,1.038412,1.381034,2,0,0
-2.680946,-1.85608,1.038412,1.381034,1,0,0
-2.683442,-1.846906,1.05296,1.381034,1,0,0
-2.683442,-1.846906,1.05296,1.381034,1,0,1
-2.683442,-1.846906,1.05296,1.381034,1,0,1
-2.683442,-1.846906,1.05296,1.381034,1,0,1
-2.683442,-1.846906,1.05296,1.381034,1,0,1
-2.683442,-1.846906,1.05296,1.381034,1,0,1
-2.683442,-1.846906,1.05296,1.381034,1,0,1
-2.683442,-1.846906,1.05296,1.381073,1,0,1
-2.683442,-1.846906,1.05296,1.38105,1,0,1
-2.683442,-1.846906,1.05296,1.38105,1,0,1
-2.683442,-1.846906,1.05296,1.38105,1,0,1
-2.683442,-1.846906,1.05296,1.38105,3,0,1
-2.686024,-1.843112,1.06465,1.38105,3,0,1
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.38105,3,0,2
-2.686024,-1.843112,1.06465,1.381029,3,0,2
-2.686024,-1.843112,1.06465,1.381103,3,0,2
-2.686024,-1.843112,1.06465,1.381103,3,0,2
-2.686024,-1.843112,1.06465,1.381103,3,0,2
-2.686024,-1.843112,1.06465,1.381103,1,0,2
-2.693999,-1.83147,1.064116,1.381103,1,0,2
-2.693999,-1.83147,1.064116,1.381103,1,0,2
-2.693999,-1.83147,1.064116,1.381103,1,0,2
-2.693999,-1.83147,1.064116,1.381103,1,0,2
-2.693999,-1.83147,1.064116,1.381103,1,0,2
-2.693999,-1.83147,1.064116,1.381201,1,0,2
-2.693999,-1.83147,1.064116,1.381201,1,0,2
-2.693999,-1.83147,1.064116,1.381201,1,0,2
-2.693999,-1.83147,1.064116,1.381207,1,0,2
-2.693999,-1.83147,1.064116,1.381207,1,0,2
-2.693999,-1.83147,1.064116,1.381207,1,0,2
-2.693999,-1.83147,1.064116,1.381207,4,0,2
-2.704463,-1.826316,1.073411,1.381207,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.381182,4,0,2
-2.704463,-1.826316,1.073411,1.38117,4,0,2
-2.704463,-1.826316,1.073411,1.38117,4,0,2
-2.704463,-1.826316,1.073411,1.38117,4,0,2
-2.704463,-1.826316,1.073411,1.38117,2,0,2
-2.717547,-1.816287,1.068416,1.38117,2,0,2
-2.717547,-1.816287,1.068416,1.38117,2,0,1
-2.717547,-1.816287,1.068416,1.38117,2,0,1
-2.717547,-1.816287,1.068416,1.38117,2,0,1
-2.717547,-1.816287,1.068416,1.38117,2,0,1
-2.717547,-1.816287,1.068416,1.381266,2,0,1
-2.717547,-1.816287,1.068416,1.381247,2,0,1
-2.717547,-1.816287,1.068416,1.381247,2,0,1
-2.717547,-1.816287,1.068416,1.381247,2,0,1
-2.717547,-1.816287,1.068416,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381247,3,0,1
-2.728689,-1.798661,1.067436,1.381504,3,0,1
-2.728689,-1.798661,1.067436,1.381504,3,0,1
-2.728689,-1.798661,1.067436,1.381504,3,0,1
-2.728689,-1.798661,1.067436,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
-2.740582,-1.785237,1.069406,1.381504,2,0,1
