TCurr, mavlink_nav_controller_output_t.nav_roll, mavlink_nav_controller_output_t.nav_pitch, mavlink_attitude_t.yaw, mavlink_gps_raw_int_t.vel, mavlink_raw_imu_t.xgyro, mavlink_raw_imu_t.ygyro
0,18.27269,8.161786,-1.234639,10,495,-385
0,18.27269,8.161786,-1.233996,10,495,-385
0,18.27269,8.161786,-1.234343,10,495,-385
0,18.27269,8.161786,-1.234471,10,495,-385
0,18.27269,8.161786,-1.234884,10,495,-385
0,18.27269,8.161786,-1.235167,10,495,-385
0,18.27269,8.161786,-1.235119,10,495,-385
0,18.27269,8.161786,-1.23527,10,495,-385
0,18.27269,8.161786,-1.237865,10,495,-385
0,18.27269,8.161786,-1.251627,10,495,-385
0,18.27269,8.161786,-1.288708,10,495,-385
0,18.27269,8.161786,-1.283913,10,495,-385
0,18.27269,8.161786,-1.278271,10,495,-385
0,18.27269,8.161786,-1.271744,10,495,-385
0,18.27269,8.161786,-1.26764,10,495,-385
0,18.27269,8.161786,-1.262947,10,495,-385
0,18.27269,8.161786,-1.25826,10,495,-385
0,18.27269,8.161786,-1.251316,10,495,-385
0,18.27269,8.161786,-1.249947,10,495,-385
0,18.27269,8.161786,-1.25601,10,495,-385
0,18.27269,8.161786,-1.25601,10,495,-385
0,18.27269,8.161786,-1.25601,10,495,-385
0,18.27269,8.161786,-1.25601,21,495,-385
0,23.31895,-0.3697319,-1.25601,21,495,-385
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,21,-80,0
0,23.31895,-0.3697319,-1.25601,4,-80,0
0,26.26835,-0.5645982,-1.25601,4,-80,0
0,26.26835,-0.5645982,-1.25601,4,49,3
0,26.26835,-0.5645982,-1.25601,4,49,3
0,26.26835,-0.5645982,-1.25601,4,49,3
0,26.26835,-0.5645982,-1.25601,4,49,3
0,26.26835,-0.5645982,-1.25601,4,49,3
0,26.26835,-0.5645982,-1.25601,4,49,3
0,26.26835,-0.5645982,-1.235512,4,49,3
0,26.26835,-0.5645982,-1.226466,4,49,3
0,26.26835,-0.5645982,-1.226466,4,49,3
0,26.26835,-0.5645982,-1.226466,4,49,3
0,26.26835,-0.5645982,-1.226466,4,49,3
0,29.15659,-0.6286551,-1.226466,4,49,3
0,29.15659,-0.6286551,-1.226466,4,15,5
0,29.15659,-0.6286551,-1.226466,4,15,5
0,29.15659,-0.6286551,-1.226466,4,15,5
0,29.15659,-0.6286551,-1.226466,4,15,5
0,29.15659,-0.6286551,-1.226466,4,15,5
0,29.15659,-0.6286551,-1.226466,4,15,5
0,29.15659,-0.6286551,-1.225107,4,15,5
0,29.15659,-0.6286551,-1.206609,4,15,5
0,29.15659,-0.6286551,-1.206609,4,15,5
0,29.15659,-0.6286551,-1.206609,4,15,5
0,29.15659,-0.6286551,-1.206609,8,15,5
0,26.74358,-0.8061378,-1.206609,8,15,5
0,26.74358,-0.8061378,-1.206609,8,378,15
0,26.74358,-0.8061378,-1.206609,8,378,15
0,26.74358,-0.8061378,-1.206609,8,378,15
0,26.74358,-0.8061378,-1.206609,8,378,15
0,26.74358,-0.8061378,-1.206609,8,378,15
0,26.74358,-0.8061378,-1.206609,8,378,15
0,26.74358,-0.8061378,-1.206683,8,378,15
0,26.74358,-0.8061378,-1.200387,8,378,15
0,26.74358,-0.8061378,-1.200387,8,378,15
0,26.74358,-0.8061378,-1.200387,8,378,15
0,26.74358,-0.8061378,-1.200387,4,378,15
0,29.65347,-0.9624212,-1.200387,4,378,15
0,29.65347,-0.9624212,-1.200387,4,10,0
0,29.65347,-0.9624212,-1.200387,4,10,0
0,29.65347,-0.9624212,-1.200387,4,10,0
0,29.65347,-0.9624212,-1.200387,4,10,0
0,29.65347,-0.9624212,-1.200387,4,10,0
0,29.65347,-0.9624212,-1.200387,4,10,0
0,29.65347,-0.9624212,-1.188572,4,10,0
0,29.65347,-0.9624212,-1.189047,4,10,0
0,29.65347,-0.9624212,-1.189047,4,10,0
0,29.65347,-0.9624212,-1.189047,4,10,0
0,29.65347,-0.9624212,-1.189047,1,10,0
0,31.83879,-1.071967,-1.189047,1,10,0
0,31.83879,-1.071967,-1.189047,1,238,9
0,31.83879,-1.071967,-1.189047,1,238,9
0,31.83879,-1.071967,-1.189047,1,238,9
0,31.83879,-1.071967,-1.189047,1,238,9
0,31.83879,-1.071967,-1.189047,1,238,9
0,31.83879,-1.071967,-1.183706,1,238,9
0,31.83879,-1.071967,-1.183706,1,238,9
0,31.83879,-1.071967,-1.183706,1,238,9
0,31.83879,-1.071967,-1.185971,1,238,9
0,31.83879,-1.071967,-1.185971,1,238,9
0,31.83879,-1.071967,-1.185971,1,238,9
0,31.83879,-1.071967,-1.185971,3,238,9
0,36.28277,-0.6363837,-1.185971,3,238,9
0,36.28277,-0.6363837,-1.187071,3,238,9
0,36.28277,-0.6363837,-1.187071,3,-121,0
0,36.28277,-0.6363837,-1.187071,3,-121,0
0,36.28277,-0.6363837,-1.187071,3,-121,0
0,36.28277,-0.6363837,-1.187071,3,-121,0
0,36.28277,-0.6363837,-1.187071,3,-121,0
0,36.28277,-0.6363837,-1.187071,3,-121,0
0,36.28277,-0.6363837,-1.18142,3,-121,0
0,36.28277,-0.6363837,-1.18142,3,-121,0
0,36.28277,-0.6363837,-1.18142,3,-121,0
0,36.28277,-0.6363837,-1.18142,10,-121,0
0,35.46361,-1.091573,-1.18142,10,-121,0
0,35.46361,-1.091573,-1.17165,10,-121,0
0,35.46361,-1.091573,-1.17165,10,-105,-5
0,35.46361,-1.091573,-1.17165,10,-105,-5
0,35.46361,-1.091573,-1.17165,10,-105,-5
0,35.46361,-1.091573,-1.17165,10,-105,-5
0,35.46361,-1.091573,-1.17165,10,-105,-5
0,35.46361,-1.091573,-1.17165,10,-105,-5
0,35.46361,-1.091573,-1.176286,10,-105,-5
0,35.46361,-1.091573,-1.176286,10,-105,-5
0,35.46361,-1.091573,-1.176286,10,-105,-5
0,35.46361,-1.091573,-1.176286,7,-105,-5
0,22.23787,-1.058604,-1.176286,7,-105,-5
0,22.23787,-1.058604,-1.175959,7,-105,-5
0,22.23787,-1.058604,-1.175959,7,-1128,-55
0,22.23787,-1.058604,-1.175959,7,-1128,-55
0,22.23787,-1.058604,-1.175959,7,-1128,-55
0,22.23787,-1.058604,-1.175959,7,-1128,-55
0,22.23787,-1.058604,-1.175959,7,-1128,-55
0,22.23787,-1.058604,-1.175959,7,-1128,-55
0,22.23787,-1.058604,-1.173737,7,-1128,-55
0,22.23787,-1.058604,-1.133447,7,-1128,-55
0,22.23787,-1.058604,-1.133447,7,-1128,-55
0,22.23787,-1.058604,-1.133447,7,-1128,-55
0,22.23787,-1.058604,-1.133447,12,-1128,-55
0,-3.003923,-1.7513,-1.133447,12,-1128,-55
0,-3.003923,-1.7513,-1.133447,12,-15,-25
0,-3.003923,-1.7513,-1.133447,12,-15,-25
0,-3.003923,-1.7513,-1.133447,12,-15,-25
0,-3.003923,-1.7513,-1.133447,12,-15,-25
0,-3.003923,-1.7513,-1.133447,12,-15,-25
0,-3.003923,-1.7513,-1.133447,12,-15,-25
0,-3.003923,-1.7513,-1.14121,12,-15,-25
0,-3.003923,-1.7513,-1.137113,12,-15,-25
0,-3.003923,-1.7513,-1.137113,12,-15,-25
0,-3.003923,-1.7513,-1.137113,12,-15,-25
0,-3.003923,-1.7513,-1.137113,3,-15,-25
0,-2.930714,-2.681753,-1.137113,3,-15,-25
0,-2.930714,-2.681753,-1.137113,3,47,-515
0,-2.930714,-2.681753,-1.137113,3,47,-515
0,-2.930714,-2.681753,-1.137113,3,47,-515
0,-2.930714,-2.681753,-1.137113,3,47,-515
0,-2.930714,-2.681753,-1.137113,3,47,-515
0,-2.930714,-2.681753,-1.137113,3,47,-515
0,-2.930714,-2.681753,-1.131633,3,47,-515
0,-2.930714,-2.681753,-1.143514,3,47,-515
0,-2.930714,-2.681753,-1.143514,3,47,-515
0,-2.930714,-2.681753,-1.143514,3,47,-515
0,-2.930714,-2.681753,-1.143514,5,47,-515
0,3.550789,-6.070337,-1.143514,5,47,-515
0,3.550789,-6.070337,-1.143514,5,1147,8
0,3.550789,-6.070337,-1.143514,5,1147,8
0,3.550789,-6.070337,-1.143514,5,1147,8
0,3.550789,-6.070337,-1.143514,5,1147,8
0,3.550789,-6.070337,-1.143514,5,1147,8
0,3.550789,-6.070337,-1.143514,5,1147,8
0,3.550789,-6.070337,-1.178595,5,1147,8
0,3.550789,-6.070337,-1.178595,5,1147,8
0,3.550789,-6.070337,-1.178595,5,1147,8
0,3.550789,-6.070337,-1.178595,31,1147,8
0,31.46715,-7.066908,-1.178595,31,1147,8
0,31.46715,-7.066908,-1.302792,31,1147,8
0,31.46715,-7.066908,-1.302792,31,548,26
0,31.46715,-7.066908,-1.302792,31,548,26
0,31.46715,-7.066908,-1.302792,31,548,26
0,31.46715,-7.066908,-1.302792,31,548,26
0,31.46715,-7.066908,-1.302792,31,548,26
0,31.46715,-7.066908,-1.302792,31,548,26
0,31.46715,-7.066908,-1.216879,31,548,26
0,31.46715,-7.066908,-1.216879,31,548,26
0,31.46715,-7.066908,-1.216879,31,548,26
0,31.46715,-7.066908,-1.216879,18,548,26
0,50.88993,-12.11044,-1.216879,18,548,26
0,50.88993,-12.11044,-1.216879,18,390,0
0,50.88993,-12.11044,-1.216879,18,390,0
0,50.88993,-12.11044,-1.216879,18,390,0
0,50.88993,-12.11044,-1.216879,18,390,0
0,50.88993,-12.11044,-1.243589,18,390,0
0,50.88993,-12.11044,-1.243589,18,390,0
0,50.88993,-12.11044,-1.243589,18,390,0
0,50.88993,-12.11044,-1.344085,18,390,0
0,50.88993,-12.11044,-1.344085,18,390,0
0,50.88993,-12.11044,-1.344085,18,390,0
0,50.88993,-12.11044,-1.344085,8,390,0
0,65.33231,-3.732797,-1.344085,8,390,0
0,65.33231,-3.732797,-1.344085,8,288,-79
0,65.33231,-3.732797,-1.344085,8,288,-79
0,65.33231,-3.732797,-1.344085,8,288,-79
0,65.33231,-3.732797,-1.344085,8,288,-79
